title,source_country,date,url,clean_text,headline_length_words,month
"İsrail askerlerinin , işgal altındaki Batı Şeriada açtığı ateş sonucu 6 Filistinli yaralandı",Turkey,2026-03-06 15:15:00,http://www.haberler.com/guncel/israil-in-bati-seria-daki-baskininda-6-yarali-19631592-haberi/,i srail askerlerinin işgal altındaki batı şeriada açtığı ateş sonucu 6 filistinli yaralandı,13,2026-03
Filistin Başbakanı Mustafadan İsraile karşı  acilen ve kararlı bir şekilde müdahale  çağrısı,Turkey,2026-04-20 09:45:00,https://www.haberler.com/guncel/filistin-basbakani-ndan-israil-e-sert-cagri-19766304-haberi/,filistin başbakanı mustafadan i sraile karşı acilen ve kararlı bir şekilde müdahale çağrısı,13,2026-04
"İşgalci İsrail , Batı Şeriada 7 kişiyi gözaltına aldı , yaşlı bir Filistinliyi darbetti",Turkey,2026-03-22 11:45:00,https://www.trthaber.com/haber/dunya/isgalci-israil-bati-seriada-7-kisiyi-gozaltina-aldi-yasli-bir-filistinliyi-darbetti-938691.html,i şgalci i srail batı şeriada 7 kişiyi gözaltına aldı yaşlı bir filistinliyi darbetti,14,2026-03
Siyonist İsrail askerleri Batı Şeriada baskın düzenledi : 23 Filistinli gözaltına alındı,Turkey,2026-03-31 10:30:00,https://www.sabah.com.tr/dunya/siyonist-israil-askerleri-bati-seriada-baskin-duzenledi-23-filistinli-gozaltina-alindi-7554035,siyonist i srail askerleri batı şeriada baskın düzenledi 23 filistinli gözaltına alındı,12,2026-03
Eski Mossad Direktörü Tamir Pardo : Yahudi olmaktan utanıyorum,Turkey,2026-04-28 09:45:00,https://www.ensonhaber.com/dunya/eski-mossad-direktoru-tamir-pardo-yahudi-olmaktan-utaniyorum,eski mossad direktörü tamir pardo yahudi olmaktan utanıyorum,8,2026-04
İsrail askerleri Batı Şeriaya düzenlediği baskında 2 kişiyi gözaltına aldı,Turkey,2026-03-07 10:30:00,http://www.haberler.com/guncel/israil-ordusu-nablus-ta-baskin-duzenledi-19633720-haberi/,i srail askerleri batı şeriaya düzenlediği baskında 2 kişiyi gözaltına aldı,11,2026-03
İsrail ordusu Batı Şeriada 6 Filistinliyi yaraladı,Turkey,2026-04-26 09:30:00,https://www.bursahakimiyet.com.tr/gundem/israil-ordusu-bati-seria-da-6-filistinliyi-yaraladi-1615682,i srail ordusu batı şeriada 6 filistinliyi yaraladı,8,2026-04
"İşgalci İsrailliler , Nablusta bir kız okuluna saldırdı",Turkey,2026-03-21 09:45:00,https://www.trthaber.com/haber/dunya/isgalci-israilliler-nablusta-bir-kiz-okuluna-saldirdi-938581.html,i şgalci i srailliler nablusta bir kız okuluna saldırdı,9,2026-03
Filistin : İsrailin  idam yasası  halkımıza karşı savaş suçudur,Turkey,2026-03-30 20:15:00,https://www.trthaber.com/haber/dunya/filistin-israilin-idam-yasasi-halkimiza-karsi-savas-sucudur-939702.html,filistin i srailin idam yasası halkımıza karşı savaş suçudur,9,2026-03
"İsrailde aşırı sağcı gruplar , Filistin ve Lübnan topraklarının gasbını istiyor",Turkey,2026-04-07 14:45:00,https://www.aa.com.tr/tr/dunya/israilde-asiri-sagci-gruplar-filistin-ve-lubnan-topraklarinin-gasbini-istiyor/3896027,i srailde aşırı sağcı gruplar filistin ve lübnan topraklarının gasbını istiyor,11,2026-04
"Filistin topraklarını gasbeden İsrailliler , Batı Şeriada Filistinlileri darbetti hayvanlarını çaldı - Yeni Meram - Konya Haberleri",Turkey,2026-03-13 16:30:00,https://www.yenimeram.com.tr/filistin-topraklarini-gasbeden-israilliler-bati-seriada-filistinlileri-darbetti-hayvanlarini-caldi.htm,filistin topraklarını gasbeden i srailliler batı şeriada filistinlileri darbetti hayvanlarını çaldı yeni meram konya haberleri,15,2026-03
"Filistin topraklarını gasbeden Siyonist yerleşimciler , bir Filistinlinin 150 büyükbaş hayvanını çaldı",Turkey,2026-03-06 15:00:00,https://www.haksozhaber.net/filistin-topraklarini-gasbeden-siyonist-yerlesimciler-bir-filistinlinin-150-buyukbas-201005h.htm,filistin topraklarını gasbeden siyonist yerleşimciler bir filistinlinin 150 büyükbaş hayvanını çaldı,11,2026-03
